epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9728,1.2816,2.75902,1.20822,0.00876,0.92262,0.52897,0.28399,1.13145,2.8466,1.09782,0.00028,0.00028,0.00028
2,39.5163,1.29917,1.68234,1.23606,0.00842,0.8869,0.55465,0.31769,1.21231,2.65313,1.17464,0.000557032,0.000557032,0.000557032
3,63.7372,1.24684,1.58059,1.27983,0.00785,0.82738,0.31089,0.15776,1.26246,2.80063,1.31353,0.000810304,0.000810304,0.000810304
4,81.6085,1.28585,1.57994,1.28821,0.46588,0.23214,0.31685,0.19649,1.20489,2.43783,1.33739,0.00103982,0.00103982,0.00103982
5,96.1257,1.31461,1.48707,1.30978,0.70274,0.37995,0.45718,0.29201,1.25723,2.20378,1.39162,0.00124557,0.00124557,0.00124557
6,110.781,1.3255,1.46333,1.31363,0.65202,0.44048,0.47801,0.29099,1.43729,1.92352,1.51181,0.00142756,0.00142756,0.00142756
7,125.62,1.32478,1.46641,1.3173,0.67468,0.49378,0.56904,0.3627,1.36925,1.60838,1.49131,0.0015248,0.0015248,0.0015248
8,140.122,1.24169,1.39684,1.25878,0.49141,0.48214,0.47245,0.28614,1.3575,1.79243,1.45075,0.0014456,0.0014456,0.0014456
9,154.305,1.25811,1.30363,1.29009,0.68017,0.58929,0.64161,0.39218,1.29199,1.66956,1.39757,0.0013664,0.0013664,0.0013664
10,168.271,1.13016,1.24504,1.21265,0.68209,0.70833,0.72286,0.48931,1.17563,1.27943,1.27718,0.0012872,0.0012872,0.0012872
11,182.434,1.15853,1.19353,1.18551,0.77415,0.58929,0.71002,0.43258,1.3363,1.31145,1.37305,0.001208,0.001208,0.001208
12,196.861,1.19234,1.21875,1.23755,0.70704,0.68954,0.72907,0.46644,1.18451,1.32789,1.33551,0.0011288,0.0011288,0.0011288
13,211.552,1.12437,1.13468,1.16843,0.8189,0.66071,0.769,0.48467,1.16881,1.23336,1.32551,0.0010496,0.0010496,0.0010496
14,225.958,1.03633,1.05691,1.13433,0.77448,0.71429,0.75577,0.49655,1.17238,1.2705,1.3292,0.0009704,0.0009704,0.0009704
15,240.321,1.09618,1.16885,1.16581,0.82701,0.68452,0.79063,0.51473,1.15807,1.05378,1.29192,0.0008912,0.0008912,0.0008912
16,285.823,1.04926,1.22953,1.13281,0.8237,0.625,0.71906,0.46758,1.16904,1.29394,1.29054,0.000812,0.000812,0.000812
17,299.648,1.02097,1.20822,1.14774,0.78558,0.68452,0.77338,0.50507,1.11167,1.06489,1.23679,0.0007328,0.0007328,0.0007328
18,313.673,0.93587,1.05016,1.08773,0.80176,0.75595,0.80962,0.56516,1.04672,0.95214,1.20482,0.0006536,0.0006536,0.0006536
19,327.443,0.94219,0.99005,1.09605,0.85847,0.7381,0.81525,0.53251,1.07436,1.04109,1.1946,0.0005744,0.0005744,0.0005744
20,341.099,0.93405,0.98486,1.07574,0.89185,0.73632,0.83015,0.56969,1.05472,0.95553,1.18568,0.0004952,0.0004952,0.0004952
21,354.886,0.92307,1.00292,1.06845,0.87771,0.7619,0.8541,0.58246,1.05679,0.90821,1.19138,0.000416,0.000416,0.000416
22,369.206,0.90509,0.9009,1.09966,0.8739,0.74255,0.83915,0.58237,1.0688,0.92098,1.21787,0.0003368,0.0003368,0.0003368
23,383.205,0.87542,0.92353,1.04715,0.83503,0.75323,0.83993,0.59326,1.04015,0.88509,1.19961,0.0002576,0.0002576,0.0002576
24,397.336,0.82351,0.91154,1.03178,0.88514,0.72024,0.83387,0.58892,1.02681,0.86943,1.18961,0.0001784,0.0001784,0.0001784
25,411.484,0.77301,0.82178,0.99952,0.8769,0.73214,0.83789,0.59947,1.00926,0.86332,1.17625,9.92e-05,9.92e-05,9.92e-05
