epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.699,1.20548,0.96136,1.26776,0.81411,0.71249,0.80022,0.47473,1.28947,0.95736,1.32992,0.000664234,0.000664234,0.000664234
2,596.743,1.25011,0.97106,1.30498,0.68142,0.62028,0.66234,0.38131,1.45798,1.35376,1.47049,0.00119914,0.00119914,0.00119914
3,814.212,1.28058,0.97053,1.31862,0.76043,0.65381,0.73024,0.41622,1.43952,1.15288,1.44352,0.00160205,0.00160205,0.00160205
4,1077.68,1.22541,0.92225,1.28562,0.79156,0.68122,0.76247,0.47036,1.29403,0.94751,1.32842,0.001406,0.001406,0.001406
5,1463.67,1.1649,0.84502,1.2441,0.85855,0.72255,0.825,0.5229,1.20024,0.83989,1.27797,0.001208,0.001208,0.001208
6,1713.5,1.07642,0.75505,1.18583,0.84618,0.75165,0.83326,0.55123,1.12981,0.7738,1.23221,0.00101,0.00101,0.00101
7,2040.74,1.01252,0.68535,1.13683,0.85447,0.7579,0.84113,0.56903,1.09274,0.73178,1.19524,0.000812,0.000812,0.000812
8,2382.78,0.94819,0.62223,1.10165,0.8906,0.79212,0.8739,0.61416,1.01732,0.66199,1.17052,0.000614,0.000614,0.000614
9,2676.69,0.89446,0.56336,1.07063,0.87696,0.81224,0.88834,0.63678,0.98166,0.63076,1.13759,0.000416,0.000416,0.000416
10,2921.83,0.83659,0.51883,1.03658,0.89517,0.8231,0.89723,0.65616,0.9472,0.58949,1.11946,0.000218,0.000218,0.000218
